| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |    ci_upper |   p_value | significant_95   |
|:---------------------------------------------------|:---------------------------------------------------|:---------------------|:---------------------|---------:|---------:|-------------:|------------:|------------:|----------:|:-----------------|
| gpt-4-turbo                                        | gpt-41-nano                                        | GPT-4 Turbo          | GPT-4.1-nano         | 0.761905 | 0.440878 |  0.321404    |  0.277039   |  0.365944   |    0      | True             |
| gpt-5.4-mini_few_shot                              | gpt-41-nano                                        | GPT-5.4-mini         | GPT-4.1-nano         | 0.761421 | 0.440878 |  0.321129    |  0.275465   |  0.367192   |    0      | True             |
| gpt-5.4-nano_few_shot                              | gpt-41-nano                                        | GPT-5.4-nano         | GPT-4.1-nano         | 0.75502  | 0.440878 |  0.31455     |  0.271357   |  0.358159   |    0      | True             |
| gpt-4o                                             | gpt-41-nano                                        | GPT-4o               | GPT-4.1-nano         | 0.751491 | 0.440878 |  0.31106     |  0.270719   |  0.352688   |    0      | True             |
| gpt-41-mini                                        | gpt-41-nano                                        | GPT-4.1-mini         | GPT-4.1-nano         | 0.734452 | 0.440878 |  0.293841    |  0.249076   |  0.33978    |    0      | True             |
| gpt-35                                             | gpt-41-nano                                        | GPT-3.5              | GPT-4.1-nano         | 0.732338 | 0.440878 |  0.291721    |  0.247107   |  0.33665    |    0      | True             |
| gpt-41                                             | gpt-41-nano                                        | GPT-4.1              | GPT-4.1-nano         | 0.726397 | 0.440878 |  0.285685    |  0.243003   |  0.330223   |    0      | True             |
| bilstm-crf__supervised                             | gpt-41-nano                                        | BiLSTM-CRF           | GPT-4.1-nano         | 0.725728 | 0.440878 |  0.284852    |  0.230576   |  0.339747   |    0      | True             |
| gemini-2.5-flash_few_shot                          | gpt-41-nano                                        | Gemini-2.5-flash     | GPT-4.1-nano         | 0.70999  | 0.440878 |  0.269336    |  0.224727   |  0.314325   |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-41-nano                                        | BERTimbau-base       | GPT-4.1-nano         | 0.707989 | 0.440878 |  0.266978    |  0.218157   |  0.316121   |    0      | True             |
| deepseek-v3_few_shot                               | gpt-41-nano                                        | DeepSeek-V3          | GPT-4.1-nano         | 0.670444 | 0.440878 |  0.229714    |  0.18591    |  0.275123   |    0      | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gpt-41-nano                                        | BERTimbau-large      | GPT-4.1-nano         | 0.654179 | 0.440878 |  0.213181    |  0.155922   |  0.269793   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-nano                                        | Legal-BERTimbau-base | GPT-4.1-nano         | 0.638806 | 0.440878 |  0.197768    |  0.14169    |  0.253876   |    0      | True             |
| gpt-4-turbo                                        | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4 Turbo          | Legal-BERTimbau-base | 0.761905 | 0.638806 |  0.123636    |  0.0684669  |  0.178503   |    0      | True             |
| gpt-5.4-mini_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-mini         | Legal-BERTimbau-base | 0.761421 | 0.638806 |  0.123362    |  0.0670726  |  0.179839   |    0      | True             |
| gpt-5.4-nano_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-nano         | Legal-BERTimbau-base | 0.75502  | 0.638806 |  0.116782    |  0.0653643  |  0.169182   |    0      | True             |
| gpt-4o                                             | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4o               | Legal-BERTimbau-base | 0.751491 | 0.638806 |  0.113293    |  0.0593736  |  0.168257   |    0      | True             |
| gpt-4-turbo                                        | neuralmind_bert-large-portuguese-cased__supervised | GPT-4 Turbo          | BERTimbau-large      | 0.761905 | 0.654179 |  0.108223    |  0.05673    |  0.160247   |    0      | True             |
| gpt-5.4-mini_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-mini         | BERTimbau-large      | 0.761421 | 0.654179 |  0.107948    |  0.0562083  |  0.160658   |    0      | True             |
| gpt-5.4-nano_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-nano         | BERTimbau-large      | 0.75502  | 0.654179 |  0.101369    |  0.0511318  |  0.152129   |    0      | True             |
| gpt-4o                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4o               | BERTimbau-large      | 0.751491 | 0.654179 |  0.0978795   |  0.0472373  |  0.149998   |    0.0002 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-mini                                        | Legal-BERTimbau-base | GPT-4.1-mini         | 0.638806 | 0.734452 | -0.096073    | -0.150875   | -0.0417945  |    0.0004 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-35                                             | Legal-BERTimbau-base | GPT-3.5              | 0.638806 | 0.732338 | -0.0939536   | -0.148649   | -0.0406753  |    0.0004 | True             |
| gpt-4-turbo                                        | deepseek-v3_few_shot                               | GPT-4 Turbo          | DeepSeek-V3          | 0.761905 | 0.670444 |  0.0916894   |  0.0554982  |  0.128441   |    0      | True             |
| gpt-5.4-mini_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-mini         | DeepSeek-V3          | 0.761421 | 0.670444 |  0.0914151   |  0.0470376  |  0.134809   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41                                             | Legal-BERTimbau-base | GPT-4.1              | 0.638806 | 0.726397 | -0.0879173   | -0.140787   | -0.0343031  |    0.001  | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | bilstm-crf__supervised                             | Legal-BERTimbau-base | BiLSTM-CRF           | 0.638806 | 0.725728 | -0.087084    | -0.137807   | -0.0372951  |    0.0004 | True             |
| gpt-5.4-nano_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-nano         | DeepSeek-V3          | 0.75502  | 0.670444 |  0.0848358   |  0.0453014  |  0.124678   |    0      | True             |
| gpt-4o                                             | deepseek-v3_few_shot                               | GPT-4o               | DeepSeek-V3          | 0.751491 | 0.670444 |  0.0813461   |  0.0445474  |  0.118611   |    0      | True             |
| gpt-41-mini                                        | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1-mini         | BERTimbau-large      | 0.734452 | 0.654179 |  0.0806597   |  0.028514   |  0.133882   |    0.002  | True             |
| gpt-35                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-3.5              | BERTimbau-large      | 0.732338 | 0.654179 |  0.0785404   |  0.0274472  |  0.130729   |    0.002  | True             |
| gpt-41                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1              | BERTimbau-large      | 0.726397 | 0.654179 |  0.0725041   |  0.0189241  |  0.12628    |    0.0072 | True             |
| neuralmind_bert-large-portuguese-cased__supervised | bilstm-crf__supervised                             | BERTimbau-large      | BiLSTM-CRF           | 0.654179 | 0.725728 | -0.0716708   | -0.123055   | -0.0211798  |    0.006  | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gemini-2.5-flash_few_shot                          | Legal-BERTimbau-base | Gemini-2.5-flash     | 0.638806 | 0.70999  | -0.0715689   | -0.127678   | -0.0167622  |    0.0114 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-base-portuguese-cased__supervised  | Legal-BERTimbau-base | BERTimbau-base       | 0.638806 | 0.707989 | -0.0692106   | -0.10857    | -0.0301215  |    0.0002 | True             |
| gpt-41-mini                                        | deepseek-v3_few_shot                               | GPT-4.1-mini         | DeepSeek-V3          | 0.734452 | 0.670444 |  0.0641263   |  0.0286992  |  0.0999805  |    0.0006 | True             |
| gpt-35                                             | deepseek-v3_few_shot                               | GPT-3.5              | DeepSeek-V3          | 0.732338 | 0.670444 |  0.062007    |  0.0195687  |  0.104369   |    0.0056 | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gemini-2.5-flash_few_shot                          | BERTimbau-large      | Gemini-2.5-flash     | 0.654179 | 0.70999  | -0.0561556   | -0.112087   | -0.00304676 |    0.0386 | True             |
| gpt-41                                             | deepseek-v3_few_shot                               | GPT-4.1              | DeepSeek-V3          | 0.726397 | 0.670444 |  0.0559707   |  0.0152167  |  0.095382   |    0.0088 | True             |
| deepseek-v3_few_shot                               | bilstm-crf__supervised                             | DeepSeek-V3          | BiLSTM-CRF           | 0.670444 | 0.725728 | -0.0551374   | -0.104452   | -0.00689234 |    0.0236 | True             |
| gpt-4-turbo                                        | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4 Turbo          | BERTimbau-base       | 0.761905 | 0.707989 |  0.0544254   |  0.00578296 |  0.103017   |    0.0292 | True             |
| gpt-5.4-mini_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.4-mini         | BERTimbau-base       | 0.761421 | 0.707989 |  0.0541511   |  0.00570226 |  0.103231   |    0.0274 | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | neuralmind_bert-large-portuguese-cased__supervised | BERTimbau-base       | BERTimbau-large      | 0.707989 | 0.654179 |  0.0537974   |  0.0180638  |  0.0904744  |    0.0042 | True             |
| gpt-4-turbo                                        | gemini-2.5-flash_few_shot                          | GPT-4 Turbo          | Gemini-2.5-flash     | 0.761905 | 0.70999  |  0.0520671   |  0.0197788  |  0.0837257  |    0.002  | True             |
| gpt-5.4-mini_few_shot                              | gemini-2.5-flash_few_shot                          | GPT-5.4-mini         | Gemini-2.5-flash     | 0.761421 | 0.70999  |  0.0517928   |  0.00895632 |  0.0919268  |    0.0176 | True             |
| gpt-5.4-nano_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.4-nano         | BERTimbau-base       | 0.75502  | 0.707989 |  0.0475718   |  0.00351573 |  0.0918979  |    0.0344 | True             |
| gpt-5.4-nano_few_shot                              | gemini-2.5-flash_few_shot                          | GPT-5.4-nano         | Gemini-2.5-flash     | 0.75502  | 0.70999  |  0.0452136   |  0.00983924 |  0.0787008  |    0.013  | True             |
| gpt-4o                                             | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4o               | BERTimbau-base       | 0.751491 | 0.707989 |  0.0440821   | -0.00159513 |  0.0892886  |    0.0574 | False            |
| gpt-4o                                             | gemini-2.5-flash_few_shot                          | GPT-4o               | Gemini-2.5-flash     | 0.751491 | 0.70999  |  0.0417239   |  0.00447345 |  0.0761915  |    0.0286 | True             |
| gemini-2.5-flash_few_shot                          | deepseek-v3_few_shot                               | Gemini-2.5-flash     | DeepSeek-V3          | 0.70999  | 0.670444 |  0.0396222   |  0.00351667 |  0.0761866  |    0.0278 | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | deepseek-v3_few_shot                               | BERTimbau-base       | DeepSeek-V3          | 0.707989 | 0.670444 |  0.037264    | -0.0144958  |  0.0873937  |    0.1468 | False            |
| gpt-4-turbo                                        | bilstm-crf__supervised                             | GPT-4 Turbo          | BiLSTM-CRF           | 0.761905 | 0.725728 |  0.036552    | -0.0148048  |  0.0866391  |    0.163  | False            |
| gpt-5.4-mini_few_shot                              | bilstm-crf__supervised                             | GPT-5.4-mini         | BiLSTM-CRF           | 0.761421 | 0.725728 |  0.0362777   | -0.0189546  |  0.089766   |    0.1918 | False            |
| gpt-4-turbo                                        | gpt-41                                             | GPT-4 Turbo          | GPT-4.1              | 0.761905 | 0.726397 |  0.0357187   |  0.00545618 |  0.0671634  |    0.0196 | True             |
| gpt-5.4-mini_few_shot                              | gpt-41                                             | GPT-5.4-mini         | GPT-4.1              | 0.761421 | 0.726397 |  0.0354444   | -0.005802   |  0.0746696  |    0.095  | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | deepseek-v3_few_shot                               | Legal-BERTimbau-base | DeepSeek-V3          | 0.638806 | 0.670444 | -0.0319466   | -0.0882034  |  0.0211695  |    0.2544 | False            |
| gpt-5.4-nano_few_shot                              | bilstm-crf__supervised                             | GPT-5.4-nano         | BiLSTM-CRF           | 0.75502  | 0.725728 |  0.0296984   | -0.0228166  |  0.0822742  |    0.2642 | False            |
| gpt-4-turbo                                        | gpt-35                                             | GPT-4 Turbo          | GPT-3.5              | 0.761905 | 0.732338 |  0.0296824   | -0.00644255 |  0.0670774  |    0.116  | False            |
| gpt-5.4-mini_few_shot                              | gpt-35                                             | GPT-5.4-mini         | GPT-3.5              | 0.761421 | 0.732338 |  0.0294081   | -0.0017025  |  0.0638198  |    0.0692 | False            |
| gpt-5.4-nano_few_shot                              | gpt-41                                             | GPT-5.4-nano         | GPT-4.1              | 0.75502  | 0.726397 |  0.0288651   | -0.0055997  |  0.0646729  |    0.107  | False            |
| gpt-4-turbo                                        | gpt-41-mini                                        | GPT-4 Turbo          | GPT-4.1-mini         | 0.761905 | 0.734452 |  0.027563    | -0.00693584 |  0.0635229  |    0.121  | False            |
| gpt-5.4-mini_few_shot                              | gpt-41-mini                                        | GPT-5.4-mini         | GPT-4.1-mini         | 0.761421 | 0.734452 |  0.0272888   | -0.0149715  |  0.0682365  |    0.1994 | False            |
| gpt-41-mini                                        | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1-mini         | BERTimbau-base       | 0.734452 | 0.707989 |  0.0268623   | -0.0199729  |  0.0744722  |    0.2704 | False            |
| gpt-4o                                             | bilstm-crf__supervised                             | GPT-4o               | BiLSTM-CRF           | 0.751491 | 0.725728 |  0.0262087   | -0.0291389  |  0.0802437  |    0.3442 | False            |
| gpt-4o                                             | gpt-41                                             | GPT-4o               | GPT-4.1              | 0.751491 | 0.726397 |  0.0253754   | -0.0100402  |  0.0612428  |    0.1606 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-35                                             | BERTimbau-base       | GPT-3.5              | 0.707989 | 0.732338 | -0.024743    | -0.0718608  |  0.0236235  |    0.2968 | False            |
| gpt-41-mini                                        | gemini-2.5-flash_few_shot                          | GPT-4.1-mini         | Gemini-2.5-flash     | 0.734452 | 0.70999  |  0.0245041   | -0.0127773  |  0.0607382  |    0.1934 | False            |
| gpt-5.4-nano_few_shot                              | gpt-35                                             | GPT-5.4-nano         | GPT-3.5              | 0.75502  | 0.732338 |  0.0228288   | -0.00479633 |  0.0510653  |    0.107  | False            |
| gpt-35                                             | gemini-2.5-flash_few_shot                          | GPT-3.5              | Gemini-2.5-flash     | 0.732338 | 0.70999  |  0.0223848   | -0.0176249  |  0.061448   |    0.2756 | False            |
| gpt-5.4-nano_few_shot                              | gpt-41-mini                                        | GPT-5.4-nano         | GPT-4.1-mini         | 0.75502  | 0.734452 |  0.0207095   | -0.0140437  |  0.056575   |    0.2466 | False            |
| gpt-4o                                             | gpt-35                                             | GPT-4o               | GPT-3.5              | 0.751491 | 0.732338 |  0.0193391   | -0.00582811 |  0.0454653  |    0.1364 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-41                                             | BERTimbau-base       | GPT-4.1              | 0.707989 | 0.726397 | -0.0187067   | -0.0690009  |  0.03109    |    0.4558 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | bilstm-crf__supervised                             | BERTimbau-base       | BiLSTM-CRF           | 0.707989 | 0.725728 | -0.0178734   | -0.0629307  |  0.0270324  |    0.4456 | False            |
| gpt-4o                                             | gpt-41-mini                                        | GPT-4o               | GPT-4.1-mini         | 0.751491 | 0.734452 |  0.0172198   | -0.0180631  |  0.0530133  |    0.3398 | False            |
| neuralmind_bert-large-portuguese-cased__supervised | deepseek-v3_few_shot                               | BERTimbau-large      | DeepSeek-V3          | 0.654179 | 0.670444 | -0.0165334   | -0.0712297  |  0.0382622  |    0.557  | False            |
| gpt-41                                             | gemini-2.5-flash_few_shot                          | GPT-4.1              | Gemini-2.5-flash     | 0.726397 | 0.70999  |  0.0163484   | -0.0189227  |  0.0508011  |    0.359  | False            |
| gemini-2.5-flash_few_shot                          | bilstm-crf__supervised                             | Gemini-2.5-flash     | BiLSTM-CRF           | 0.70999  | 0.725728 | -0.0155152   | -0.0643235  |  0.0345926  |    0.537  | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-large-portuguese-cased__supervised | Legal-BERTimbau-base | BERTimbau-large      | 0.638806 | 0.654179 | -0.0154132   | -0.0594915  |  0.0278159  |    0.5012 | False            |
| gpt-4-turbo                                        | gpt-4o                                             | GPT-4 Turbo          | GPT-4o               | 0.761905 | 0.751491 |  0.0103433   | -0.0223661  |  0.0443131  |    0.5368 | False            |
| gpt-5.4-mini_few_shot                              | gpt-4o                                             | GPT-5.4-mini         | GPT-4o               | 0.761421 | 0.751491 |  0.010069    | -0.0198601  |  0.0407087  |    0.5148 | False            |
| gpt-41-mini                                        | bilstm-crf__supervised                             | GPT-4.1-mini         | BiLSTM-CRF           | 0.734452 | 0.725728 |  0.00898894  | -0.0414132  |  0.0597509  |    0.7232 | False            |
| gpt-41-mini                                        | gpt-41                                             | GPT-4.1-mini         | GPT-4.1              | 0.734452 | 0.726397 |  0.00815566  | -0.0263355  |  0.0431951  |    0.6464 | False            |
| gpt-35                                             | bilstm-crf__supervised                             | GPT-3.5              | BiLSTM-CRF           | 0.732338 | 0.725728 |  0.00686963  | -0.0464279  |  0.0596157  |    0.7932 | False            |
| gpt-4-turbo                                        | gpt-5.4-nano_few_shot                              | GPT-4 Turbo          | GPT-5.4-nano         | 0.761905 | 0.75502  |  0.00685356  | -0.0236768  |  0.0391225  |    0.6896 | False            |
| gpt-5.4-mini_few_shot                              | gpt-5.4-nano_few_shot                              | GPT-5.4-mini         | GPT-5.4-nano         | 0.761421 | 0.75502  |  0.00657927  | -0.0210631  |  0.0357456  |    0.6644 | False            |
| gpt-35                                             | gpt-41                                             | GPT-3.5              | GPT-4.1              | 0.732338 | 0.726397 |  0.00603634  | -0.0278869  |  0.0404531  |    0.7388 | False            |
| gpt-4o                                             | gpt-5.4-nano_few_shot                              | GPT-4o               | GPT-5.4-nano         | 0.751491 | 0.75502  | -0.00348972  | -0.0275553  |  0.0207115  |    0.7716 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gemini-2.5-flash_few_shot                          | BERTimbau-base       | Gemini-2.5-flash     | 0.707989 | 0.70999  | -0.00235825  | -0.0514588  |  0.0468666  |    0.9274 | False            |
| gpt-41-mini                                        | gpt-35                                             | GPT-4.1-mini         | GPT-3.5              | 0.734452 | 0.732338 |  0.00211931  | -0.033349   |  0.0357639  |    0.8926 | False            |
| gpt-41                                             | bilstm-crf__supervised                             | GPT-4.1              | BiLSTM-CRF           | 0.726397 | 0.725728 |  0.000833284 | -0.0495552  |  0.051588   |    0.974  | False            |
| gpt-4-turbo                                        | gpt-5.4-mini_few_shot                              | GPT-4 Turbo          | GPT-5.4-mini         | 0.761905 | 0.761421 |  0.00027429  | -0.039166   |  0.0409985  |    0.9946 | False            |