| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |     diff_f1 |     ci_lower |    ci_upper |   p_value | significant_95   |
|:---------------------------------------------------|:---------------------------------------------------|:---------------------|:---------------------|---------:|---------:|------------:|-------------:|------------:|----------:|:-----------------|
| gpt-4-turbo                                        | gpt-41-nano                                        | GPT-4 Turbo          | GPT-4.1-nano         | 0.773737 | 0.4494   |  0.324569   |  0.280617    |  0.36938    |    0      | True             |
| gpt-5.4-mini_few_shot                              | gpt-41-nano                                        | GPT-5.4-mini         | GPT-4.1-nano         | 0.768912 | 0.4494   |  0.319928   |  0.274082    |  0.3665     |    0      | True             |
| gpt-5.4-nano_few_shot                              | gpt-41-nano                                        | GPT-5.4-nano         | GPT-4.1-nano         | 0.762295 | 0.4494   |  0.313142   |  0.269583    |  0.357655   |    0      | True             |
| gpt-4o                                             | gpt-41-nano                                        | GPT-4o               | GPT-4.1-nano         | 0.761134 | 0.4494   |  0.312012   |  0.271333    |  0.353584   |    0      | True             |
| gpt-41-mini                                        | gpt-41-nano                                        | GPT-4.1-mini         | GPT-4.1-nano         | 0.743719 | 0.4494   |  0.294416   |  0.249283    |  0.340318   |    0      | True             |
| gpt-35                                             | gpt-41-nano                                        | GPT-3.5              | GPT-4.1-nano         | 0.737589 | 0.4494   |  0.288269   |  0.24374     |  0.332878   |    0      | True             |
| gpt-41                                             | gpt-41-nano                                        | GPT-4.1              | GPT-4.1-nano         | 0.733333 | 0.4494   |  0.283966   |  0.240975    |  0.328994   |    0      | True             |
| bilstm-crf__supervised                             | gpt-41-nano                                        | BiLSTM-CRF           | GPT-4.1-nano         | 0.725728 | 0.4494   |  0.27642    |  0.222731    |  0.330849   |    0      | True             |
| gemini-2.5-flash_few_shot                          | gpt-41-nano                                        | Gemini-2.5-flash     | GPT-4.1-nano         | 0.714144 | 0.4494   |  0.264836   |  0.220067    |  0.31001    |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-41-nano                                        | BERTimbau-base       | GPT-4.1-nano         | 0.707989 | 0.4494   |  0.258547   |  0.210377    |  0.307834   |    0      | True             |
| deepseek-v3_few_shot                               | gpt-41-nano                                        | DeepSeek-V3          | GPT-4.1-nano         | 0.67565  | 0.4494   |  0.226295   |  0.181077    |  0.27189    |    0      | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gpt-41-nano                                        | BERTimbau-large      | GPT-4.1-nano         | 0.654179 | 0.4494   |  0.20475    |  0.147581    |  0.260054   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-nano                                        | Legal-BERTimbau-base | GPT-4.1-nano         | 0.638806 | 0.4494   |  0.189336   |  0.134233    |  0.245172   |    0      | True             |
| gpt-4-turbo                                        | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4 Turbo          | Legal-BERTimbau-base | 0.773737 | 0.638806 |  0.135233   |  0.0830711   |  0.188388   |    0      | True             |
| gpt-5.4-mini_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-mini         | Legal-BERTimbau-base | 0.768912 | 0.638806 |  0.130592   |  0.0748681   |  0.185637   |    0      | True             |
| gpt-5.4-nano_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-nano         | Legal-BERTimbau-base | 0.762295 | 0.638806 |  0.123806   |  0.0731385   |  0.175165   |    0      | True             |
| gpt-4o                                             | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4o               | Legal-BERTimbau-base | 0.761134 | 0.638806 |  0.122676   |  0.0711774   |  0.174629   |    0      | True             |
| gpt-4-turbo                                        | neuralmind_bert-large-portuguese-cased__supervised | GPT-4 Turbo          | BERTimbau-large      | 0.773737 | 0.654179 |  0.119819   |  0.0699529   |  0.169759   |    0      | True             |
| gpt-5.4-mini_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-mini         | BERTimbau-large      | 0.768912 | 0.654179 |  0.115179   |  0.0636571   |  0.166527   |    0      | True             |
| gpt-5.4-nano_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-nano         | BERTimbau-large      | 0.762295 | 0.654179 |  0.108393   |  0.0603768   |  0.158006   |    0      | True             |
| gpt-4o                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4o               | BERTimbau-large      | 0.761134 | 0.654179 |  0.107262   |  0.0592062   |  0.157382   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-mini                                        | Legal-BERTimbau-base | GPT-4.1-mini         | 0.638806 | 0.743719 | -0.10508    | -0.159458    | -0.0526294  |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-35                                             | Legal-BERTimbau-base | GPT-3.5              | 0.638806 | 0.737589 | -0.0989326  | -0.151016    | -0.0467299  |    0      | True             |
| gpt-4-turbo                                        | deepseek-v3_few_shot                               | GPT-4 Turbo          | DeepSeek-V3          | 0.773737 | 0.67565  |  0.0982742  |  0.0615754   |  0.135599   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41                                             | Legal-BERTimbau-base | GPT-4.1              | 0.638806 | 0.733333 | -0.0946292  | -0.146058    | -0.0428554  |    0      | True             |
| gpt-5.4-mini_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-mini         | DeepSeek-V3          | 0.768912 | 0.67565  |  0.0936337  |  0.047045    |  0.138773   |    0      | True             |
| gpt-41-mini                                        | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1-mini         | BERTimbau-large      | 0.743719 | 0.654179 |  0.0896667  |  0.0388431   |  0.141334   |    0.0004 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | bilstm-crf__supervised                             | Legal-BERTimbau-base | BiLSTM-CRF           | 0.638806 | 0.725728 | -0.087084   | -0.137807    | -0.0372951  |    0.0004 | True             |
| gpt-5.4-nano_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-nano         | DeepSeek-V3          | 0.762295 | 0.67565  |  0.0868476  |  0.0467612   |  0.127408   |    0      | True             |
| gpt-4o                                             | deepseek-v3_few_shot                               | GPT-4o               | DeepSeek-V3          | 0.761134 | 0.67565  |  0.0857171  |  0.0475639   |  0.123993   |    0      | True             |
| gpt-35                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-3.5              | BERTimbau-large      | 0.737589 | 0.654179 |  0.0835193  |  0.0343677   |  0.132764   |    0.0006 | True             |
| gpt-41                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1              | BERTimbau-large      | 0.733333 | 0.654179 |  0.079216   |  0.0274773   |  0.131163   |    0.0026 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gemini-2.5-flash_few_shot                          | Legal-BERTimbau-base | Gemini-2.5-flash     | 0.638806 | 0.714144 | -0.0754996  | -0.130449    | -0.0217105  |    0.0068 | True             |
| neuralmind_bert-large-portuguese-cased__supervised | bilstm-crf__supervised                             | BERTimbau-large      | BiLSTM-CRF           | 0.654179 | 0.725728 | -0.0716708  | -0.123055    | -0.0211798  |    0.006  | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-base-portuguese-cased__supervised  | Legal-BERTimbau-base | BERTimbau-base       | 0.638806 | 0.707989 | -0.0692106  | -0.10857     | -0.0301215  |    0.0002 | True             |
| gpt-41-mini                                        | deepseek-v3_few_shot                               | GPT-4.1-mini         | DeepSeek-V3          | 0.743719 | 0.67565  |  0.0681215  |  0.0318132   |  0.10516    |    0.0002 | True             |
| gpt-4-turbo                                        | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4 Turbo          | BERTimbau-base       | 0.773737 | 0.707989 |  0.0660221  |  0.01901     |  0.112808   |    0.0056 | True             |
| gpt-35                                             | deepseek-v3_few_shot                               | GPT-3.5              | DeepSeek-V3          | 0.737589 | 0.67565  |  0.0619741  |  0.0182185   |  0.104553   |    0.0062 | True             |
| gpt-5.4-mini_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.4-mini         | BERTimbau-base       | 0.768912 | 0.707989 |  0.0613815  |  0.0138298   |  0.109107   |    0.0108 | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gemini-2.5-flash_few_shot                          | BERTimbau-large      | Gemini-2.5-flash     | 0.654179 | 0.714144 | -0.0600863  | -0.113794    | -0.00904446 |    0.021  | True             |
| gpt-4-turbo                                        | gemini-2.5-flash_few_shot                          | GPT-4 Turbo          | Gemini-2.5-flash     | 0.773737 | 0.714144 |  0.0597331  |  0.0282399   |  0.0914509  |    0.0002 | True             |
| gpt-41                                             | deepseek-v3_few_shot                               | GPT-4.1              | DeepSeek-V3          | 0.733333 | 0.67565  |  0.0576708  |  0.0158774   |  0.0982321  |    0.008  | True             |
| gpt-5.4-mini_few_shot                              | gemini-2.5-flash_few_shot                          | GPT-5.4-mini         | Gemini-2.5-flash     | 0.768912 | 0.714144 |  0.0550926  |  0.0124924   |  0.0952341  |    0.012  | True             |
| gpt-5.4-nano_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.4-nano         | BERTimbau-base       | 0.762295 | 0.707989 |  0.0545954  |  0.0119189   |  0.0978193  |    0.0112 | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | neuralmind_bert-large-portuguese-cased__supervised | BERTimbau-base       | BERTimbau-large      | 0.707989 | 0.654179 |  0.0537974  |  0.0180638   |  0.0904744  |    0.0042 | True             |
| gpt-4o                                             | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4o               | BERTimbau-base       | 0.761134 | 0.707989 |  0.053465   |  0.0100165   |  0.0964065  |    0.0152 | True             |
| deepseek-v3_few_shot                               | bilstm-crf__supervised                             | DeepSeek-V3          | BiLSTM-CRF           | 0.67565  | 0.725728 | -0.0501255  | -0.0976743   | -0.00323482 |    0.0372 | True             |
| gpt-5.4-nano_few_shot                              | gemini-2.5-flash_few_shot                          | GPT-5.4-nano         | Gemini-2.5-flash     | 0.762295 | 0.714144 |  0.0483064  |  0.012258    |  0.0824581  |    0.0106 | True             |
| gpt-4-turbo                                        | bilstm-crf__supervised                             | GPT-4 Turbo          | BiLSTM-CRF           | 0.773737 | 0.725728 |  0.0481487  | -0.00105467  |  0.0957438  |    0.0558 | False            |
| gpt-4o                                             | gemini-2.5-flash_few_shot                          | GPT-4o               | Gemini-2.5-flash     | 0.761134 | 0.714144 |  0.047176   |  0.0101771   |  0.081746   |    0.0114 | True             |
| gpt-5.4-mini_few_shot                              | bilstm-crf__supervised                             | GPT-5.4-mini         | BiLSTM-CRF           | 0.768912 | 0.725728 |  0.0435081  | -0.0102035   |  0.0956384  |    0.107  | False            |
| gpt-4-turbo                                        | gpt-41                                             | GPT-4 Turbo          | GPT-4.1              | 0.773737 | 0.733333 |  0.0406034  |  0.0102037   |  0.0721125  |    0.009  | True             |
| gemini-2.5-flash_few_shot                          | deepseek-v3_few_shot                               | Gemini-2.5-flash     | DeepSeek-V3          | 0.714144 | 0.67565  |  0.0385411  |  0.00291571  |  0.0750778  |    0.0326 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | deepseek-v3_few_shot                               | Legal-BERTimbau-base | DeepSeek-V3          | 0.638806 | 0.67565  | -0.0369585  | -0.09183     |  0.0158167  |    0.1822 | False            |
| gpt-5.4-nano_few_shot                              | bilstm-crf__supervised                             | GPT-5.4-nano         | BiLSTM-CRF           | 0.762295 | 0.725728 |  0.036722   | -0.0142133   |  0.0873612  |    0.1526 | False            |
| gpt-4-turbo                                        | gpt-35                                             | GPT-4 Turbo          | GPT-3.5              | 0.773737 | 0.737589 |  0.0363001  |  0.000201011 |  0.0737166  |    0.0482 | True             |
| gpt-5.4-mini_few_shot                              | gpt-41                                             | GPT-5.4-mini         | GPT-4.1              | 0.768912 | 0.733333 |  0.0359629  | -0.00626146  |  0.0754796  |    0.0918 | False            |
| gpt-41-mini                                        | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1-mini         | BERTimbau-base       | 0.743719 | 0.707989 |  0.0358694  | -0.010279    |  0.0827534  |    0.1258 | False            |
| gpt-4o                                             | bilstm-crf__supervised                             | GPT-4o               | BiLSTM-CRF           | 0.761134 | 0.725728 |  0.0355916  | -0.0164174   |  0.086615   |    0.1772 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | deepseek-v3_few_shot                               | BERTimbau-base       | DeepSeek-V3          | 0.707989 | 0.67565  |  0.0322521  | -0.0192548   |  0.0832053  |    0.2116 | False            |
| gpt-5.4-mini_few_shot                              | gpt-35                                             | GPT-5.4-mini         | GPT-3.5              | 0.768912 | 0.737589 |  0.0316596  | -0.000150084 |  0.0661235  |    0.0516 | False            |
| gpt-4-turbo                                        | gpt-41-mini                                        | GPT-4 Turbo          | GPT-4.1-mini         | 0.773737 | 0.743719 |  0.0301527  | -0.00409745  |  0.0664195  |    0.0904 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-35                                             | BERTimbau-base       | GPT-3.5              | 0.707989 | 0.737589 | -0.029722   | -0.075087    |  0.0157363  |    0.1976 | False            |
| gpt-41-mini                                        | gemini-2.5-flash_few_shot                          | GPT-4.1-mini         | Gemini-2.5-flash     | 0.743719 | 0.714144 |  0.0295804  | -0.00811493  |  0.0661729  |    0.1226 | False            |
| gpt-5.4-nano_few_shot                              | gpt-41                                             | GPT-5.4-nano         | GPT-4.1              | 0.762295 | 0.733333 |  0.0291768  | -0.00599234  |  0.0653691  |    0.109  | False            |
| gpt-4o                                             | gpt-41                                             | GPT-4o               | GPT-4.1              | 0.761134 | 0.733333 |  0.0280464  | -0.00720196  |  0.0638278  |    0.1212 | False            |
| gpt-5.4-mini_few_shot                              | gpt-41-mini                                        | GPT-5.4-mini         | GPT-4.1-mini         | 0.768912 | 0.743719 |  0.0255122  | -0.0178982   |  0.0674453  |    0.2406 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-41                                             | BERTimbau-base       | GPT-4.1              | 0.707989 | 0.733333 | -0.0254186  | -0.0743318   |  0.0235005  |    0.302  | False            |
| gpt-5.4-nano_few_shot                              | gpt-35                                             | GPT-5.4-nano         | GPT-3.5              | 0.762295 | 0.737589 |  0.0248734  | -0.00267363  |  0.0530373  |    0.072  | False            |
| gpt-4o                                             | gpt-35                                             | GPT-4o               | GPT-3.5              | 0.761134 | 0.737589 |  0.023743   | -0.00181898  |  0.0506808  |    0.0678 | False            |
| gpt-35                                             | gemini-2.5-flash_few_shot                          | GPT-3.5              | Gemini-2.5-flash     | 0.737589 | 0.714144 |  0.023433   | -0.0168946   |  0.0628835  |    0.26   | False            |
| neuralmind_bert-large-portuguese-cased__supervised | deepseek-v3_few_shot                               | BERTimbau-large      | DeepSeek-V3          | 0.654179 | 0.67565  | -0.0215452  | -0.0774091   |  0.0332563  |    0.4526 | False            |
| gpt-41                                             | gemini-2.5-flash_few_shot                          | GPT-4.1              | Gemini-2.5-flash     | 0.733333 | 0.714144 |  0.0191297  | -0.0172103   |  0.0545649  |    0.2922 | False            |
| gpt-5.4-nano_few_shot                              | gpt-41-mini                                        | GPT-5.4-nano         | GPT-4.1-mini         | 0.762295 | 0.743719 |  0.018726   | -0.0171507   |  0.0556993  |    0.3152 | False            |
| gpt-41-mini                                        | bilstm-crf__supervised                             | GPT-4.1-mini         | BiLSTM-CRF           | 0.743719 | 0.725728 |  0.017996   | -0.0301902   |  0.0663192  |    0.4744 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | bilstm-crf__supervised                             | BERTimbau-base       | BiLSTM-CRF           | 0.707989 | 0.725728 | -0.0178734  | -0.0629307   |  0.0270324  |    0.4456 | False            |
| gpt-4o                                             | gpt-41-mini                                        | GPT-4o               | GPT-4.1-mini         | 0.761134 | 0.743719 |  0.0175956  | -0.0184306   |  0.0540029  |    0.3388 | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-large-portuguese-cased__supervised | Legal-BERTimbau-base | BERTimbau-large      | 0.638806 | 0.654179 | -0.0154132  | -0.0594915   |  0.0278159  |    0.5012 | False            |
| gpt-4-turbo                                        | gpt-4o                                             | GPT-4 Turbo          | GPT-4o               | 0.773737 | 0.761134 |  0.0125571  | -0.0201697   |  0.0464736  |    0.4568 | False            |
| gpt-35                                             | bilstm-crf__supervised                             | GPT-3.5              | BiLSTM-CRF           | 0.737589 | 0.725728 |  0.0118486  | -0.038384    |  0.0622797  |    0.6342 | False            |
| gemini-2.5-flash_few_shot                          | bilstm-crf__supervised                             | Gemini-2.5-flash     | BiLSTM-CRF           | 0.714144 | 0.725728 | -0.0115844  | -0.0579214   |  0.0365931  |    0.6358 | False            |
| gpt-4-turbo                                        | gpt-5.4-nano_few_shot                              | GPT-4 Turbo          | GPT-5.4-nano         | 0.773737 | 0.762295 |  0.0114267  | -0.0192122   |  0.0443472  |    0.4906 | False            |
| gpt-41-mini                                        | gpt-41                                             | GPT-4.1-mini         | GPT-4.1              | 0.743719 | 0.733333 |  0.0104507  | -0.0244216   |  0.0453763  |    0.5608 | False            |
| gpt-5.4-mini_few_shot                              | gpt-4o                                             | GPT-5.4-mini         | GPT-4o               | 0.768912 | 0.761134 |  0.00791654 | -0.0228644   |  0.0394102  |    0.619  | False            |
| gpt-41                                             | bilstm-crf__supervised                             | GPT-4.1              | BiLSTM-CRF           | 0.733333 | 0.725728 |  0.00754523 | -0.0413156   |  0.0561391  |    0.7668 | False            |
| gpt-5.4-mini_few_shot                              | gpt-5.4-nano_few_shot                              | GPT-5.4-mini         | GPT-5.4-nano         | 0.768912 | 0.762295 |  0.00678612 | -0.0204655   |  0.036      |    0.6458 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gemini-2.5-flash_few_shot                          | BERTimbau-base       | Gemini-2.5-flash     | 0.707989 | 0.714144 | -0.00628898 | -0.0545867   |  0.0409719  |    0.804  | False            |
| gpt-41-mini                                        | gpt-35                                             | GPT-4.1-mini         | GPT-3.5              | 0.743719 | 0.737589 |  0.00614739 | -0.0299147   |  0.040872   |    0.7186 | False            |
| gpt-4-turbo                                        | gpt-5.4-mini_few_shot                              | GPT-4 Turbo          | GPT-5.4-mini         | 0.773737 | 0.768912 |  0.00464054 | -0.03519     |  0.0461195  |    0.8352 | False            |
| gpt-35                                             | gpt-41                                             | GPT-3.5              | GPT-4.1              | 0.737589 | 0.733333 |  0.00430335 | -0.0305264   |  0.0388867  |    0.8104 | False            |
| gpt-4o                                             | gpt-5.4-nano_few_shot                              | GPT-4o               | GPT-5.4-nano         | 0.761134 | 0.762295 | -0.00113042 | -0.0253922   |  0.023113   |    0.9274 | False            |